ciclo,ccaa,prov,nvivi,nivel,npers,edad5,relpp1,sexo1,ncony,npadre,nmadre,rellmili,eciv1,prona1,regna1,nac1,exregna1,anore1,nforma2,rellb,edadest,cursr,ncursr2,cursnr,ncurnr2,hcurnr,rellb,trarem,ayudfa,ausent,rznotb,vincul,nuevem,ocup1,act11,situ,sp,ducon1,ducon2,ducon3,tcontm,tcontd,dren,dcom,proest,regest,parco1,parco2,horasp,horash,horase,extra,extpag,extnpg,rzdifh,traplu,ocuplu1,actplu11,sitplu,horplu,mashor,dismas,rzndish,hordes,busotr,busca,desea,fobact,nbusca,asala,embus,itbu,disp,rzndis,empant,dtant,ocupa,acta1,situa,ofemp,sidi1,sidi2,sidi3,sidac1,sidac2,mun1,prore1,repaire1,traant,aoi,cse,factorel,factorel
178,1,18,20647,1,2,65,6,6,0,0,0,,3,18,,1,,,S1,,14,3,,3,,,,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,372,,,,,3,5,,,,1,,,6,9,,16901,
178,1,18,20648,1,1,65,1,6,2,0,0,,2,18,,1,,,S1,,15,3,,3,,,,6,6,6,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,8,,,,6,4,6,,,,,3,3,,,,,1,,,6,9,,16149,
178,1,18,20648,1,2,65,2,1,1,0,0,,2,18,,1,,,S1,,14,3,,3,,,,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,149,,,,,2,,,,,1,,,6,9,,16149,
178,1,18,20649,1,1,65,1,1,2,0,0,,2,23,,1,,,P2,,14,3,,3,,,,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,215,,,,,2,,,,,1,,,6,9,,16149,
178,1,18,20649,1,2,65,2,6,1,0,0,,2,23,,1,,,P2,,14,3,,3,,,,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,3,,,,,1,,,6,9,,16149,
178,1,18,20650,1,1,60,1,1,2,0,0,,2,18,,1,,,SU,,34,3,,3,,,,6,6,6,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,7,,,,6,4,1,5,2,8,7,3,2,,,,,6,,350,1,9,,17396,
178,1,18,20650,1,2,65,2,6,1,0,0,,2,18,,1,,,SU,,24,3,,3,,,,6,6,6,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,7,,,,6,4,1,65,,,,3,2,3,,,,6,,350,6,9,,17396,
178,1,18,20651,1,1,25,1,1,0,0,0,,1,23,,1,,,SU,,23,3,,3,,,,1,,,,,,2,7,8,,6,,2,6,,5,11,18,,1,,4000,4000,4000,6,,,,6,,,,,3,,,,1,,,1,,1,1,2,6,5,,,,,,2,3,,,1,2,1,,,1,4,11,40780,
178,1,18,20652,1,1,55,1,1,0,0,0,,1,18,,1,,,S1,,14,3,,3,,,,6,6,6,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,3,,,,6,3,1,192,,,,3,3,4,5,,,1,,,6,9,,31374,
178,1,18,20653,1,1,50,1,1,2,0,0,,2,18,,1,,,SP,,24,3,,3,,,,1,,,,,,5,8,8,,1,1,,,,348,384,18,,1,,4000,4000,4000,6,,,,6,,,,,3,,,,6,,,,,,,,,,,,,,,3,3,,,1,1,1,,,1,4,14,16445,
178,1,18,20653,1,2,45,2,6,1,0,0,,2,18,,1,,,SU,,21,3,,3,,,,1,,,,,,5,8,8,,1,1,,,,309,357,18,,6,3,2000,2000,2000,6,,,,6,,,,,3,,,,6,,,,,,,,,,,,,,,3,3,,,1,1,1,,,1,4,14,16445,
178,1,18,20653,1,3,16,3,1,0,1,2,,1,18,,1,,,P1,,12,3,,3,,,,6,6,6,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,3,,,,6,3,6,,,,,3,4,5,,,,1,,,6,9,,16445,
178,1,18,20654,1,1,40,1,6,0,0,0,,1,,350,2,350,15,P2,,13,3,,3,,,,1,,,,,,9,9,8,,1,1,,,,5,5,18,,6,5,2500,2500,2500,6,,,,1,9,9,8,400,1,1,,40,1,,,1,,1,1,4,1,,,,,,,3,3,,,1,2,1,,,1,3,14,15057,
178,1,18,20654,1,2,20,3,6,0,0,1,,1,,350,2,350,7,S1,,20,1,SP,3,,,,6,6,6,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,,6,,,,1,,1,5,9,9,8,3,1,3,,,,1,,,1,9,,15057,
178,1,18,20654,2,4,5,3,1,0,0,1,,,18,,2,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,27841,
178,1,18,20654,2,5,0,5,6,0,0,2,,,18,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,30893,
178,1,18,20655,1,1,65,1,1,2,0,0,,2,14,,1,,,SP,,15,3,,3,,,,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,133,,,,,2,3,,,,1,,,6,9,,16149,
178,1,18,20655,1,2,65,2,6,1,0,0,,2,18,,1,,,P1,,10,3,,3,,,,6,6,6,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,7,,,,6,4,1,27,,,,3,2,3,,,,1,,,6,9,,16149,
